es_ID;Study_no;author;title;date;research_group;source;species_latin;species_eng;geographic_location;model_species_0_wild_1_lab;tip_label;sex;age;pollution_type;measured_part_oryginal;measured_part;colour_type;HSB;UV_VIS_UV_VIS_other;method;carotenoids_type;colour_comment;study_type;raw_or_model;n;ES_physic;ES_biol
1;1;Spickler JL;Sexually selected traits as bioindicators: exposure to mercury affects carotenoid-based male bill color in zebra finches;2020;Cristol Lab;Web of Science;Taeniopygia guttata;zebra finches;Virginia, USA;1;Taeniopygia_guttata;M;AD;heavy_metals;bill;bare part;carotenoid-based;other;VIS;spectro;converted;Equations used to calculate all color variables took the range from 450 nm to 700 nm;E;model;75;NA;-0.227911908
2;1;Spickler JL;Sexually selected traits as bioindicators: exposure to mercury affects carotenoid-based male bill color in zebra finches;2020;Cristol Lab;Web of Science;Taeniopygia guttata;zebra finches;Virginia, USA;1;Taeniopygia_guttata;M;AD;heavy_metals;bill;bare part;carotenoid-based;other;VIS;spectro;converted;Equations used to calculate all color variables took the range from 450 nm to 700 nm;E;model;49;NA;-0.039020024
3;1;Spickler JL;Sexually selected traits as bioindicators: exposure to mercury affects carotenoid-based male bill color in zebra finches;2020;Cristol Lab;Web of Science;Taeniopygia guttata;zebra finches;Virginia, USA;1;Taeniopygia_guttata;M;AD;heavy_metals;bill;bare part;carotenoid-based;other;VIS;spectro;converted;Equations used to calculate all color variables took the range from 450 nm to 700 nm;E;model;18;NA;-0.50149027
4;1;Spickler JL;Sexually selected traits as bioindicators: exposure to mercury affects carotenoid-based male bill color in zebra finches;2020;Cristol Lab;Web of Science;Taeniopygia guttata;zebra finches;Virginia, USA;1;Taeniopygia_guttata;M;AD;heavy_metals;bill;bare part;carotenoid-based;other;VIS;spectro;converted;Equations used to calculate all color variables took the range from 450 nm to 700 nm;E;model;18;NA;-0.009850096
5;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;248;0.126491106;0.126491106
6;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;model;248;NA;0.247120825
7;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;248;0.012750498;0.012750498
8;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;248;0.063628476;0.063628476
9;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;model;248;NA;-0.005796055
10;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;hue;VIS;spectro;dietary;"""Dietary""";O;model;248;NA;-0.047763677
