es_ID;Study_no;author;title;date;research_group;source;species_latin;species_eng;geographic_location;model_species_0_wild_1_lab;tip_label;sex;age;pollution_type;measured_part_oryginal;measured_part;colour_type;HSB;UV_VIS_UV_VIS_other;method;carotenoids;colour_comment;study_type;raw_or_model;n;ES_physic;ES_biol
5;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;248;0.126491106;0.126491106
7;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;248;0.012750498;0.012750498
8;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;248;0.063628476;0.063628476
11;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;saturation;UV;spectro;dietary;"""Dietary""";O;model;248;0.036408799;0.036408799
12;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;saturation;UV;spectro;dietary;"""Dietary""";O;model;248;0.038226642;0.038226642
13;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;saturation;UV;spectro;dietary;"""Dietary""";O;model;248;0.007969456;0.007969456
14;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;brightness;UV-VIS;spectro;dietary;"""Dietary""";O;model;248;-0.030894792;-0.030894792
15;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;brightness;UV-VIS;spectro;dietary;"""Dietary""";O;model;248;-0.042017232;-0.042017232
16;2;Grunst, ML;Anthropogenic noise is associated with telomere length and carotenoid-based coloration in free-living nestling songbirds;2020;Eens Lab;Web of Science;Parus major;great tit;Wilrijk, Belgium;0;Parus_major;M/F;JUV;urbanisation;feathers (yellow contour);feathers;carotenoid-based;brightness;UV-VIS;spectro;dietary;"""Dietary""";O;model;248;-0.161170722;-0.161170722
17;3;Grunst, ML;Carotenoid- but not melanin-based plumage coloration is negatively related to metal exposure and proximity to the road in an urban songbird;2020;Eens Lab;Web of Science;Parus major;great tit;Antwerp, Belgium;0;Parus_major;M/F;MIXED;heavy_metals;feathers (breast);feathers;carotenoid-based;saturation;VIS;spectro;dietary;"""Dietary""";O;model;200;-0.005166457;-0.005166457
